x,y,token
46.303001403808594,-35.07908630371094,[
-12.367287635803223,-61.31903839111328,Emma
-34.88322067260742,-19.249059677124023,by
-15.818787574768066,-61.84773254394531,Jane
46.25691604614258,-35.03793716430664,]
27.497726440429688,-26.81580352783203,I
41.5147705078125,59.6723518371582,CHAPTER
-16.410594940185547,-62.02155685424805,Woodhouse
-34.40442657470703,-20.22799301147461,","
18.311426162719727,-54.22154998779297,handsome
17.970191955566406,-53.5684814453125,clever
-34.746524810791016,-20.077526092529297,and
14.773467063903809,24.696125030517578,rich
-34.76646041870117,-19.802310943603516,with
-35.2261848449707,-21.257766723632812,a
2.385446310043335,-60.82994079589844,comfortable
-20.129899978637695,-48.83938217163086,home
18.54274559020996,-33.760066986083984,happy
1.9495363235473633,-49.94367599487305,disposition
-28.259159088134766,-12.907968521118164,seemed
-35.32691192626953,-20.31565284729004,to
2.8942832946777344,-28.934677124023438,unite
-27.780189514160156,-8.402732849121094,some
-34.8818473815918,-19.673439025878906,of
-34.83983612060547,-20.093292236328125,the
21.615236282348633,-22.859451293945312,best
19.999958038330078,14.594939231872559,blessings
3.254643201828003,-44.205772399902344,existence
-34.46147155761719,-20.247459411621094,;
-36.368446350097656,-23.542810440063477,had
-1.3305084705352783,20.38498878479004,lived
-11.657764434814453,-44.6467170715332,nearly
2.372453451156616,58.66762161254883,twenty
-41.99072265625,22.665842056274414,-
-26.74509620666504,-12.315727233886719,one
3.7314834594726562,58.559513092041016,years
-34.96026611328125,-19.367738723754883,in
4.534646987915039,4.1615495681762695,world
25.371843338012695,-41.31625747680664,very
-42.171592712402344,-18.963415145874023,little
5.578690528869629,-38.851993560791016,distress
-17.111995697021484,5.021324157714844,or
33.48335647583008,12.629887580871582,vex
-36.601165771484375,-43.35600280761719,her
-34.74839782714844,-20.830764770507812,.
-36.55916213989258,-43.40424346923828,She
-36.637298583984375,-23.662702560424805,was
34.30267333984375,46.07967758178711,youngest
0.23669421672821045,58.78278350830078,two
35.68433380126953,47.972042083740234,daughters
-7.524773120880127,-20.692480087280273,most
-5.861217021942139,-47.01475143432617,affectionate
2.5227410793304443,-37.8663330078125,indulgent
43.7579460144043,42.382320404052734,father
2.044811964035034,-54.391197204589844,consequence
43.801300048828125,42.33881378173828,sister
32.39377212524414,-22.916133880615234,'
-44.1000862121582,-20.105491638183594,s
3.9202520847320557,-54.50038146972656,marriage
-10.99884033203125,-44.99442672729492,been
-15.881325721740723,-56.80378341674805,mistress
-39.0765266418457,-21.194725036621094,his
22.25031089782715,41.15826416015625,house
-35.00748062133789,-18.972570419311523,from
-26.566364288330078,-50.68159103393555,early
-14.719954490661621,-42.82870101928711,period
-6.206353187561035,-46.507755279541016,Her
43.78902816772461,42.327232360839844,mother
31.22516441345215,56.19017028808594,died
25.51051902770996,-41.23126983642578,too
-45.93576431274414,0.5357323884963989,long
-22.86433982849121,-53.76863479614258,ago
-36.83539962768555,-21.34759521484375,for
-36.07276916503906,-23.394855499267578,have
5.713002681732178,-21.1585750579834,more
5.6627888679504395,-21.162961959838867,than
-35.05308151245117,-21.533334732055664,an
15.158188819885254,-58.92354202270508,remembrance
-12.075002670288086,-28.301542282104492,caresses
15.121739387512207,45.09215545654297,place
-8.23078727722168,-40.3994140625,supplied
16.81985092163086,-55.134849548339844,excellent
44.40959930419922,40.32704544067383,woman
-37.11861801147461,-20.014114379882812,as
22.009042739868164,-50.812591552734375,governess
-32.0726432800293,-23.20441246032715,who
13.028874397277832,24.69234848022461,fallen
-20.674583435058594,-24.65656852722168,short
3.3767874240875244,-51.051944732666016,affection
-1.870742678642273,20.403833389282227,Sixteen
-16.294713973999023,-62.09975814819336,Miss
22.69590950012207,-50.42913055419922,Taylor
-18.199283599853516,-62.37738037109375,Mr
-14.6832275390625,-54.617828369140625,family
6.237111568450928,-34.489105224609375,less
22.23412322998047,-51.10512924194336,friend
18.428659439086914,-51.89078140258789,fond
-1.628570318222046,-3.377331256866455,both
-36.57416534423828,-21.223119735717773,but
3.285560369491577,-59.74887466430664,particularly
15.094531059265137,-7.823193550109863,Between
-36.23714828491211,-20.988204956054688,it
-1.5602689981460571,-53.76999282836914,intimacy
-22.066566467285156,-56.33067321777344,sisters
44.21979904174805,22.42516326904297,Even
-33.08045196533203,-12.142865180969238,before
-20.280155181884766,-42.12514877319336,ceased
33.43172836303711,7.606419563293457,hold
31.711702346801758,44.65852737426758,office
-13.965001106262207,-36.67705535888672,mildness
2.1787126064300537,-50.03666687011719,temper
21.324119567871094,-41.80206298828125,hardly
8.805821418762207,-55.1015625,allowed
16.938064575195312,-33.63822555541992,impose
18.781049728393555,-31.61385154724121,any
12.884297370910645,-40.36627197265625,restraint
-15.94372272491455,32.33414077758789,shadow
7.668153762817383,-38.15586853027344,authority
-6.819740295410156,-24.57775115966797,being
-36.66529083251953,-18.504884719848633,now
-39.70001983642578,-10.844474792480469,passed
-60.31515121459961,-2.1645822525024414,away
-39.7471809387207,-21.742412567138672,they
7.261167049407959,1.1192721128463745,living
21.615835189819336,46.01443099975586,together
-12.19530200958252,-33.464046478271484,mutually
-5.834659099578857,-44.02571487426758,attached
24.01424789428711,-42.9166374206543,doing
-43.35626983642578,-19.0843448638916,just
26.398149490356445,-23.299335479736328,what
-36.573883056640625,-43.3563117980957,she
10.951228141784668,-56.49286651611328,liked
-6.482865333557129,-45.491397857666016,highly
28.74143409729004,22.01668930053711,judgment
-19.717540740966797,-29.47281837463379,directed
-2.6696619987487793,-39.84431838989258,chiefly
3.5304267406463623,-22.825103759765625,own
-7.316339492797852,18.47972297668457,The
2.671759843826294,-48.12197494506836,real
-0.8317348957061768,-51.76974868774414,evils
